,Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
137,2019,Q3,Wisconsin,61000.0,69000,10000.0,2400,3800
138,2019,Q3,Wyoming,33000.0,34000,3900.0,1800,3900
139,2019,Q3,Other States,6490.0,9990,890.0,480,440
140,0,0,0,0.0,0,0.0,0,0
141,2019,Q4,Alabama,6500.0,6500,830.0,210,1300
142,2019,Q4,Arizona,26000.0,27000,5000.0,2200,330
143,2019,Q4,Arkansas,30000.0,31000,6000.0,110,230
144,2019,Q4,California,680000.0,1200000,170000.0,86000,46000
145,2019,Q4,Colorado,30000.0,30000,3500.0,370,10
146,0,0,0,0.0,0,0.0,0,0
147,2019,Q4,Florida,240000.0,290000,43000.0,53000,20000
148,2019,Q4,Georgia,148000.0,164000,19500.0,6500,49000
149,2019,Q4,Hawaii,16000.0,16000,940.0,1700,6000
150,2019,Q4,Idaho,99000.0,159000,15000.0,9000,910
151,2019,Q4,Illinois,12000.0,12000,1400.0,600,350
152,2019,Q4,Indiana,9000.0,9000,3300.0,40,1200
153,2019,Q4,Iowa,21000.0,21000,4200.0,630,80
154,2019,Q4,Kansas,5500.0,5500,1000.0,420,10
155,2019,Q4,Kentucky,7000.0,7000,2000.0,60,430
156,2019,Q4,Louisiana,50000.0,52000,2600.0,130,200
157,2019,Q4,Maine,12000.0,12000,1400.0,210,880
158,2019,Q4,Maryland,7000.0,9000,690.0,60,90
159,2019,Q4,Massachusetts,4900.0,4900,650.0,110,320
160,2019,Q4,Michigan,77000.0,77000,6000.0,3900,1800
161,2019,Q4,Minnesota,84000.0,86000,11500.0,2500,590
162,2019,Q4,Mississippi,14500.0,25000,2000.0,330,50
163,2019,Q4,Missouri,10000.0,10000,880.0,170,150
164,2019,Q4,Montana,98000.0,102000,5500.0,3100,500
165,2019,Q4,Nebraska,45000.0,45000,5000.0,7000,840
166,2019,Q4,New Jersey,15500.0,15500,1300.0,30,80
167,0,0,0,0.0,0,0.0,0,0
168,2019,Q4,New York,53000.0,53000,4400.0,1000,1500
169,2019,Q4,North Carolina,16000.0,16000,2700.0,250,300
170,2019,Q4,North Dakota,430000.0,435000,29000.0,7500,1500
171,2019,Q4,Ohio,15500.0,15500,2100.0,170,450
172,2019,Q4,Oklahoma,2200.0,57000,2500.0,60,20
173,2019,Q4,Oregon,89000.0,101000,13000.0,10500,12000
174,2019,Q4,Pennsylvania,21000.0,21000,4000.0,270,1500
175,2019,Q4,South Carolina,10000.0,12500,1500.0,770,790
176,2019,Q4,South Dakota,140000.0,140000,21000.0,2000,430
177,2019,Q4,Tennessee,8000.0,8500,1900.0,30,370
178,2019,Q4,Texas,116000.0,260000,17000.0,11000,70
179,2019,Q4,Utah,27000.0,27000,3400.0,180,400
180,2019,Q4,Vermont,6500.0,6500,170.0,10,20
181,2019,Q4,Virginia,7000.0,7000,1100.0,80,1300
182,2019,Q4,Washington,75000.0,81000,11000.0,5500,1400
183,2019,Q4,West Virginia,7000.0,7000,1200.0,50,70
184,2019,Q4,Wisconsin,48000.0,48000,8500.0,1600,530
185,0,0,0,0.0,0,0.0,0,0
186,2019,Q4,Other States,8370.0,8670,1150.0,20,500
187,0,0,0,0.0,0,0.0,0,0
188,2018,Q1,Alabama,7000.0,7000,1600.0,570,740
189,0,0,0,0.0,0,0.0,0,0
190,2018,Q1,Arkansas,18000.0,20000,3500.0,430,230
191,2018,Q1,California,1170000.0,1470000,195000.0,137000,93000
192,0,0,0,0.0,0,0.0,0,0
193,2018,Q1,Connecticut,3100.0,3100,380.0,100,110
194,2018,Q1,Florida,260000.0,265000,30000.0,78000,34000
195,2018,Q1,Georgia,123000.0,125000,14000.0,25000,21000
196,2018,Q1,Hawaii,13000.0,13000,190.0,510,50
197,2018,Q1,Idaho,95000.0,99000,8500.0,2000,280
198,2018,Q1,Illinois,11000.0,11000,2900.0,3100,150
199,2018,Q1,Indiana,7000.0,7500,1900.0,1700,70
200,0,0,0,0.0,0,0.0,0,0
201,2018,Q1,Kansas,3800.0,3800,1000.0,930,380
202,2018,Q1,Kentucky,6500.0,7000,1300.0,950,430
203,2018,Q1,Louisiana,44000.0,47000,2700.0,11000,1900
204,0,0,0,0.0,0,0.0,0,0
205,2018,Q1,Maryland,9000.0,9000,2100.0,770,260
206,2018,Q1,Massachusetts,3300.0,3300,1500.0,120,110
207,2018,Q1,Michigan,29000.0,59000,5000.0,600,130
208,0,0,0,0.0,0,0.0,0,0
209,2018,Q1,Mississippi,31000.0,68000,2600.0,23000,7000
210,2018,Q1,Missouri,7000.0,7500,1200.0,400,10
211,2018,Q1,Montana,18500.0,46000,470.0,3100,6000
212,0,0,0,0.0,0,0.0,0,0
213,0,0,0,0.0,0,0.0,0,0
214,0,0,0,0.0,0,0.0,0,0
215,0,0,0,0.0,0,0.0,0,0
216,2018,Q1,North Carolina,16000.0,23000,2500.0,3700,1200
217,2018,Q1,North Dakota,50000.0,123000,640.0,1100,10
218,2018,Q1,Ohio,15500.0,17500,4400.0,1300,530
219,2018,Q1,Oklahoma,26000.0,26000,550.0,9500,1700
220,2018,Q1,Oregon,71000.0,90000,8000.0,7500,1400
221,2018,Q1,Pennsylvania,17000.0,18000,4000.0,810,390
222,2018,Q1,South Carolina,17000.0,17500,1600.0,4700,970
223,2018,Q1,South Dakota,21000.0,48000,2700.0,1500,440
224,2018,Q1,Tennessee,8500.0,8500,1600.0,1500,160
225,2018,Q1,Texas,275000.0,340000,49000.0,130000,68000
226,2018,Q1,Utah,16000.0,19000,2700.0,3900,60
227,0,0,0,0.0,0,0.0,0,0
228,2018,Q1,Virginia,8000.0,8000,1400.0,1900,280
229,0,0,0,0.0,0,0.0,0,0
230,2018,Q1,West Virginia,5500.0,8000,800.0,450,100
231,2018,Q1,Wisconsin,17000.0,22000,4400.0,450,70
232,0,0,0,0.0,0,0.0,0,0
233,2018,Q1,Other States 5/,6190.0,6490,1540.0,130,50
234,0,0,0,0.0,0,0.0,0,0
235,2018,Q2,Alabama,6500.0,6500,440.0,1200,500
236,2018,Q2,Arizona,22000.0,22000,2600.0,12500,3000
237,2018,Q2,Arkansas,17000.0,24000,1900.0,6000,1300
238,2018,Q2,California,980000.0,990000,90000.0,160000,220000
239,2018,Q2,Colorado,16500.0,31000,4500.0,8000,7500
240,2018,Q2,Connecticut,3000.0,3000,140.0,2200,350
241,2018,Q2,Florida,245000.0,255000,35000.0,40000,50000
242,2018,Q2,Georgia,130000.0,137000,12500.0,21000,31000
243,2018,Q2,Hawaii,12000.0,12000,70.0,3000,920
244,2018,Q2,Idaho,61000.0,78000,10500.0,22000,31000
245,2018,Q2,Illinois,11500.0,12000,1200.0,3600,1600
246,2018,Q2,Indiana,7500.0,11000,1200.0,3000,510
247,2018,Q2,Iowa,12000.0,23000,2400.0,23000,3900
248,2018,Q2,Kansas,3800.0,6000,390.0,2500,870
249,2018,Q2,Kentucky,7000.0,7500,900.0,3100,590
250,2018,Q2,Louisiana,56000.0,62000,2600.0,4100,8000
251,2018,Q2,Maine,2200.0,33000,910.0,1100,1400
252,2018,Q2,Maryland,8000.0,9500,190.0,3400,930
253,2018,Q2,Massachusetts,2500.0,8000,140.0,1400,490
254,2018,Q2,Michigan,55000.0,100000,7500.0,20000,13500
255,2018,Q2,Minnesota,32000.0,128000,12000.0,19000,8500
256,2018,Q2,Mississippi,89000.0,89000,3800.0,5500,26000
257,2018,Q2,Missouri,6500.0,7000,270.0,1800,1000
258,2018,Q2,Montana,47000.0,135000,3700.0,18000,18000
259,2018,Q2,Nebraska,7500.0,43000,1500.0,7000,27000
260,2018,Q2,New Jersey,5500.0,21000,430.0,1900,660
261,2018,Q2,New Mexico,7000.0,7500,1800.0,3300,3900
262,2018,Q2,New York,25000.0,43000,1300.0,16500,7500
263,2018,Q2,North Carolina,24000.0,25000,3000.0,5000,2700
264,2018,Q2,North Dakota,115000.0,450000,16000.0,31000,41000
265,2018,Q2,Ohio,13500.0,15000,1100.0,7000,2500
266,2018,Q2,Oklahoma,17000.0,17000,200.0,4700,1200
267,2018,Q2,Oregon,71000.0,92000,5000.0,15500,22000
268,2018,Q2,Pennsylvania,15500.0,17500,540.0,7500,2300
269,2018,Q2,South Carolina,20000.0,20000,870.0,3000,3700
270,2018,Q2,South Dakota,30000.0,168000,13000.0,10000,23000
271,2018,Q2,Tennessee,8500.0,9000,1300.0,2600,1500
272,2018,Q2,Texas,345000.0,350000,28000.0,43000,148000
